telecast_id,program_id,program_name,episode_id,network,air_date,air_time_et,duration_min,stream,avg_audience_k,household_rating
T-000009,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-06-29,07:30,30,live_7,245,0.2
T-000008,SST,Sesame Street,SST-5616,PBS KIDS,2026-06-29,08:00,60,live_7,583,0.49
T-000015,BEA,Bea's Block,BEA-103,PBS KIDS,2026-06-29,08:00,15,live_7,172,0.14
T-000020,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-06-29,08:00,30,live_7,106,0.09
T-000001,SST,Sesame Street,SST-5614,PBS KIDS,2026-06-29,13:00,60,live_7,481,0.4
T-000002,SST,Sesame Street,SST-5604,PBS,2026-06-30,07:00,60,live_7,618,0.52
T-000021,ESM,Esme & Roy,ESM-303,PBS KIDS,2026-06-30,07:00,30,live_7,100,0.08
T-000016,BEA,Bea's Block,BEA-104,PBS KIDS,2026-06-30,07:30,15,live_7,98,0.08
T-000010,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-06-30,09:00,30,live_7,289,0.24
T-000017,BEA,Bea's Block,BEA-105,PBS,2026-07-01,07:30,15,live_7,143,0.12
T-000022,ESM,Esme & Roy,ESM-304,PBS KIDS,2026-07-01,10:30,30,live_7,132,0.11
T-000003,SST,Sesame Street,SST-5614,PBS,2026-07-01,16:00,60,live_7,632,0.53
T-000018,BEA,Bea's Block,BEA-103,PBS,2026-07-02,08:00,15,live_7,196,0.16
T-000004,SST,Sesame Street,SST-5606,PBS KIDS,2026-07-02,10:30,60,live_7,561,0.47
T-000012,MEC,Mecha Builders,MEC-203,PBS,2026-07-02,10:30,30,live_7,292,0.24
T-000023,ESM,Esme & Roy,ESM-303,PBS KIDS,2026-07-02,16:00,30,live_7,127,0.11
T-000013,MEC,Mecha Builders,MEC-204,PBS,2026-07-03,10:30,30,live_7,297,0.25
T-000019,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-03,15:30,15,live_7,145,0.12
T-000005,SST,Sesame Street,SST-5606,PBS KIDS,2026-07-03,16:00,60,live_7,315,0.26
T-000006,SST,Sesame Street,SST-5612,PBS KIDS,2026-07-04,07:00,60,live_7,353,0.29
T-000014,MEC,Mecha Builders,MEC-204,PBS KIDS,2026-07-04,15:30,30,live_7,225,0.19
T-000007,SST,Sesame Street,SST-5610,PBS KIDS,2026-07-05,07:00,60,live_7,362,0.3
T-000054,SST,Sesame Street,SST-5616,PBS KIDS,2026-07-13,07:00,60,live_sd,278,0.23
T-000061,BEA,Bea's Block,BEA-107,PBS KIDS,2026-07-13,07:00,15,live_sd,98,0.08
T-000055,MEC,Mecha Builders,MEC-210,PBS KIDS,2026-07-13,08:00,30,live_sd,175,0.15
T-000047,SST,Sesame Street,SST-5602,PBS KIDS,2026-07-13,09:00,60,live_sd,537,0.45
T-000066,ESM,Esme & Roy,ESM-302,PBS KIDS,2026-07-13,16:00,30,live_sd,103,0.09
T-000048,SST,Sesame Street,SST-5602,PBS KIDS,2026-07-14,08:00,60,live_sd,451,0.38
T-000056,MEC,Mecha Builders,MEC-203,PBS,2026-07-14,09:00,30,live_sd,235,0.2
T-000067,ESM,Esme & Roy,ESM-301,PBS KIDS,2026-07-14,10:30,30,live_sd,101,0.08
T-000062,BEA,Bea's Block,BEA-102,PBS,2026-07-14,13:00,15,live_sd,134,0.11
T-000057,MEC,Mecha Builders,MEC-203,PBS,2026-07-15,07:00,30,live_sd,244,0.2
T-000068,ESM,Esme & Roy,ESM-302,PBS KIDS,2026-07-15,10:30,30,live_sd,69,0.06
T-000049,SST,Sesame Street,SST-5609,PBS KIDS,2026-07-15,13:00,60,live_sd,542,0.45
T-000063,BEA,Bea's Block,BEA-103,PBS,2026-07-15,15:30,15,live_sd,124,0.1
T-000069,ESM,Esme & Roy,ESM-305,PBS KIDS,2026-07-16,07:00,30,live_sd,139,0.12
T-000058,MEC,Mecha Builders,MEC-206,PBS KIDS,2026-07-16,10:30,30,live_sd,168,0.14
T-000050,SST,Sesame Street,SST-5605,PBS KIDS,2026-07-16,13:00,60,live_sd,592,0.49
T-000064,BEA,Bea's Block,BEA-105,PBS KIDS,2026-07-16,13:00,15,live_sd,137,0.11
T-000051,SST,Sesame Street,SST-5611,PBS KIDS,2026-07-17,07:00,60,live_sd,351,0.29
T-000065,BEA,Bea's Block,BEA-101,PBS,2026-07-17,07:30,15,live_sd,123,0.1
T-000059,MEC,Mecha Builders,MEC-203,PBS KIDS,2026-07-17,16:00,30,live_sd,290,0.24
T-000052,SST,Sesame Street,SST-5613,PBS KIDS,2026-07-18,07:30,60,live_sd,554,0.46
T-000060,MEC,Mecha Builders,MEC-208,PBS KIDS,2026-07-18,09:00,30,live_sd,284,0.24
T-000053,SST,Sesame Street,SST-5605,PBS KIDS,2026-07-19,07:00,60,live_sd,358,0.3
