donation_id,contact_id,campaign_id,amount_usd,donated_at,transaction_id,pledge_id
D-00456,C-0119,CMP-03,25,2026-06-24T16:32:00Z,,
D-00316,C-0633,CMP-05,25,2026-07-27T13:47:00Z,,
D-00439,C-0591,CMP-03,100,2026-03-06T18:28:00Z,,
D-00369,C-0488,CMP-04,100,2026-05-08T14:19:00Z,,
D-00791,C-0573,CMP-03,10,2026-05-27T09:00:00Z,,PL-027
D-00256,C-0761,CMP-02,10,2026-05-25T16:41:00Z,,
D-00019,C-0048,CMP-04,100,2026-07-02T12:09:45Z,TXN-000020,
D-00669,C-0479,CMP-03,10,2026-03-03T09:00:00Z,,PL-003
D-00202,C-0026,CMP-02,250,2026-07-12T17:58:53Z,TXN-000206,
D-00415,C-0363,CMP-01,50,2026-04-20T09:51:00Z,,
D-00171,C-0784,CMP-04,100,2026-07-11T00:34:25Z,TXN-000175,
D-00441,C-0344,CMP-03,10,2026-03-06T15:46:00Z,,
D-00571,C-0047,CMP-05,100,2026-07-19T15:48:00Z,,
D-00264,C-0656,CMP-01,500,2026-03-18T16:01:00Z,,
D-00607,C-0621,CMP-05,100,2026-06-09T12:23:00Z,,
D-00113,C-0212,CMP-02,10,2026-07-06T13:09:54Z,TXN-000115,
D-00025,C-0263,CMP-02,10,2026-07-02T12:52:50Z,TXN-000026,
D-00291,C-0130,CMP-05,50,2026-03-15T18:04:00Z,,
D-00437,C-0464,CMP-03,10,2026-05-09T10:48:00Z,,
D-00005,C-0451,CMP-02,15,2026-07-01T07:44:01Z,TXN-000005,
D-00001,C-0098,CMP-02,25,2026-07-01T12:48:44Z,TXN-000001,
D-00696,C-0562,CMP-03,25,2026-05-08T09:00:00Z,,PL-008
D-00511,C-0551,CMP-01,25,2026-07-19T10:11:00Z,,
D-00481,C-0125,CMP-02,10,2026-04-23T15:00:00Z,,
D-00723,C-0334,CMP-03,25,2026-07-13T09:00:00Z,,PL-013
D-00570,C-0270,CMP-04,10,2026-03-20T17:43:00Z,,
D-00452,C-0671,CMP-02,10,2026-07-11T08:46:00Z,,
D-00490,C-0522,CMP-03,100,2026-07-15T17:34:00Z,,
D-00615,C-0508,CMP-04,500,2026-04-03T18:01:00Z,,
D-00377,C-0288,CMP-03,100,2026-04-25T10:31:00Z,,
D-00758,C-0525,CMP-03,25,2026-07-20T09:00:00Z,,PL-020
D-00203,C-0479,CMP-02,25,2026-07-12T18:17:57Z,TXN-000207,
D-00776,C-0626,CMP-03,10,2026-05-24T09:00:00Z,,PL-024
D-00262,C-0772,CMP-01,10,2026-07-12T16:26:00Z,,
D-00633,C-0065,CMP-01,50,2026-03-04T15:09:00Z,,
D-00625,C-0310,CMP-03,50,2026-04-13T18:59:00Z,,
D-00281,C-0433,CMP-03,25,2026-04-05T15:13:00Z,,
D-00321,C-0526,CMP-02,50,2026-05-10T09:24:00Z,,
D-00124,C-0444,CMP-02,50,2026-07-08T02:37:25Z,TXN-000128,
D-00800,C-0221,CMP-03,25,2026-04-28T09:00:00Z,,PL-029
D-00728,C-0490,CMP-03,10,2026-07-14T09:00:00Z,,PL-014
D-00700,C-0349,CMP-03,25,2026-04-09T09:00:00Z,,PL-009
D-00304,C-0707,CMP-02,100,2026-04-12T16:51:00Z,,
D-00219,C-0128,CMP-04,100,2026-07-13T21:21:00Z,TXN-000223,
D-00734,C-0688,CMP-03,25,2026-03-16T09:00:00Z,,PL-016
D-00138,C-0349,CMP-02,10,2026-07-08T17:05:45Z,TXN-000142,
D-00355,C-0695,CMP-02,50,2026-07-08T19:13:00Z,,
D-00721,C-0334,CMP-03,25,2026-05-13T09:00:00Z,,PL-013
D-00362,C-0338,CMP-04,50,2026-03-26T14:15:00Z,,
D-00737,C-0688,CMP-03,25,2026-06-16T09:00:00Z,,PL-016
D-00098,C-0616,CMP-04,250,2026-07-06T19:36:48Z,TXN-000100,
D-00402,C-0005,CMP-04,50,2026-04-23T11:19:00Z,,
